Player,Nation,Pos,Age,90s,Tkl,TklW,Tkl Def 3rd,Tkl Mid 3rd,Tkl Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Press Def 3rd,Press Mid 3rd,Press Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err
Djordje Mihailovic,us USA,MFFW,22,31.1,35,26,16,12,7,11,31,35.5,20,525,130,24.8,100,255,170,40,1,0,39,30,65,17,0
Rudy Camacho,fr FRA,DF,29,30.5,34,18,26,8,0,9,30,30.0,21,249,75,30.1,140,94,15,60,34,2,26,73,107,171,5
Victor Wanyama,ke KEN,MF,29,26.2,48,31,27,17,4,15,41,36.6,26,431,132,30.6,150,226,55,29,11,0,18,35,83,39,0
Kamal Miller,ca CAN,DF,23,26.4,24,10,18,6,0,13,26,50.0,13,217,62,28.6,116,75,26,31,10,0,21,46,70,82,0
Mathieu Choiniere,ca CAN,DF,21,22.0,37,23,23,10,4,15,42,35.7,27,368,118,32.1,142,144,82,45,2,0,43,26,63,22,0
Zachary Brault-Guillard,ca CAN,DF,22,22.8,33,16,17,13,3,14,31,45.2,17,244,66,27.0,86,100,58,35,5,0,30,40,73,35,1
Joaquín Torres,ar ARG,FWMF,24,21.0,16,5,2,10,4,6,29,20.7,23,317,85,26.8,39,141,137,11,0,0,11,9,25,2,0
Joel Waterman,ca CAN,DF,25,20.6,35,22,12,20,3,19,36,52.8,17,211,82,38.9,113,81,17,28,14,0,14,44,79,65,0
Samuel Piette,ca CAN,MF,26,19.0,38,32,18,14,6,11,35,31.4,24,438,121,27.6,164,222,52,29,8,0,21,36,74,30,0
James Pantemis,ca CAN,GK,23,18.0,0,0,0,0,0,0,0,,0,1,0,0.0,1,0,0,0,0,0,0,1,1,0,2
Aljaž Struna,si SVN,DF,30,15.9,22,14,12,7,3,9,17,52.9,8,145,46,31.7,68,69,8,14,7,0,7,22,44,66,0
Romell Quioto,hn HON,FW,29,13.7,3,1,0,1,2,0,1,0.0,1,126,21,16.7,2,54,70,7,0,0,7,4,7,2,0
Zorhan Bassong,ca CAN,DF,21,13.9,31,17,19,7,5,12,27,44.4,15,182,47,25.8,82,68,32,25,5,0,20,24,55,50,0
Bjørn Johnsen,no NOR,FW,29,9.9,14,8,3,7,4,3,9,33.3,6,251,72,28.7,21,120,110,10,3,0,7,3,17,11,1
Mason Toye,us USA,FW,22,9.9,8,5,1,5,2,3,8,37.5,5,163,31,19.0,10,72,81,6,1,0,5,4,12,6,0
Emanuel Maciel,ar ARG,MF,23,9.8,26,17,13,9,4,12,25,48.0,13,157,62,39.5,55,73,29,14,1,0,13,17,43,16,1
Sunusi Ibrahim,ng NGA,FW,18,10.2,7,7,2,4,1,0,6,0.0,6,186,55,29.6,23,72,91,6,0,0,6,6,13,2,0
Ahmed Hamdi,eg EGY,MF,22,9.9,22,15,8,8,6,9,26,34.6,17,257,78,30.4,77,107,73,11,2,0,9,13,35,3,0
Sebastian Breza,ca CAN,GK,22,8.0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,1,0
Clément Diop,sn SEN,GK,27,8.0,0,0,0,0,0,0,0,,0,2,0,0.0,2,0,0,0,0,0,0,0,0,0,0
Mustafa Kizza,ug UGA,DF,21,7.3,12,5,8,3,1,5,15,33.3,10,106,27,25.5,50,34,22,24,1,0,23,8,20,11,0
Lassi Lappalainen,fi FIN,DFFW,22,6.2,16,14,7,6,3,7,20,35.0,13,123,44,35.8,33,46,44,11,1,0,10,8,24,6,0
Amar Sejdic,us USA,MF,24,4.3,15,10,2,12,1,7,14,50.0,7,126,40,31.7,22,79,25,9,0,0,9,8,23,2,0
Clement Bayiha,ca CAN,DF,21,3.2,7,2,5,1,1,4,7,57.1,3,81,26,32.1,39,22,20,8,1,0,7,8,15,9,0
Erik Hurtado,us USA,FW,30,3.2,1,0,1,0,0,0,2,0.0,2,49,14,28.6,3,15,31,3,0,0,3,1,2,1,0
Matko Miljevic,us USA,FWMF,19,1.6,4,4,3,1,0,0,1,0.0,1,23,8,34.8,5,11,7,0,0,0,0,2,6,1,0
Ballou Tabla,ca CAN,DFMF,21,0.2,0,0,0,0,0,0,1,0.0,1,7,0,0.0,2,4,1,1,0,0,1,0,0,0,0
Rida Zouhir,ca CAN,MF,17,0.2,0,0,0,0,0,0,0,,0,5,0,0.0,1,3,1,0,0,0,0,1,1,0,0
Squad Total,,,24.9,34.0,488,302,243,181,64,184,480,38.3,296,4990,1442,28.9,1546,2187,1257,457,107,2,350,469,957,650,10
Opponent Total,,,26.7,34.0,607,380,296,225,86,210,593,35.4,383,6150,1664,27.1,1945,2740,1465,455,118,3,337,558,1165,526,11
