Player,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog
Djordje Mihailovic,us USA,MFFW,22,31.1,4,58,14,24.1,1.87,0.45,0.07,0.29,18.8,11,0,0,5.3,5.3,0.09,-1.3,-1.3,1063,1448,73.4,19706,5646,13,9.9,+3.1,75,108,48,8,125
Rudy Camacho,fr FRA,DF,29,30.5,3,15,4,26.7,0.49,0.13,0.20,0.75,8.8,0,0,0,1.2,1.2,0.08,+1.8,+1.8,1536,1708,89.9,33864,12454,0,0.5,-0.5,5,61,4,2,67
Victor Wanyama,ke KEN,MF,29,26.2,2,29,10,34.5,1.11,0.38,0.03,0.10,18.9,0,1,1,2.8,2.0,0.07,-0.8,-1.0,1279,1472,86.9,26474,6293,0,0.7,-0.7,16,159,16,1,130
Kamal Miller,ca CAN,DF,23,26.4,1,7,2,28.6,0.26,0.08,0.14,0.50,15.2,0,0,0,0.5,0.5,0.07,+0.5,+0.5,1409,1603,87.9,28171,12647,0,0.4,-0.4,8,138,8,2,120
Mathieu Choiniere,ca CAN,DF,21,22.0,2,17,6,35.3,0.77,0.27,0.12,0.33,20.1,0,0,0,1.2,1.2,0.07,+0.8,+0.8,980,1182,82.9,15660,4995,0,1.8,-1.8,17,58,20,7,91
Zachary Brault-Guillard,ca CAN,DF,22,22.8,2,17,4,23.5,0.75,0.18,0.12,0.50,18.8,0,0,0,1.5,1.5,0.09,+0.5,+0.5,852,1079,79.0,15369,4018,2,4.6,-2.6,28,35,29,14,56
Joaquín Torres,ar ARG,FWMF,24,21.0,4,37,14,37.8,1.76,0.67,0.11,0.29,20.4,1,0,0,3.7,3.7,0.10,+0.3,+0.3,583,767,76.0,9775,2349,5,3.2,+1.8,26,47,36,5,70
Joel Waterman,ca CAN,DF,25,20.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,1113,1249,89.1,22909,7630,2,0.3,+1.7,5,100,10,2,69
Samuel Piette,ca CAN,MF,26,19.0,1,14,2,14.3,0.74,0.11,0.07,0.50,18.2,0,0,0,1.6,1.6,0.11,-0.6,-0.6,929,1039,89.4,18734,5002,1,0.4,+0.6,10,84,11,1,79
James Pantemis,ca CAN,GK,23,18.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,411,512,80.3,9840,5394,0,0.0,0.0,1,1,0,0,0
Aljaž Struna,si SVN,DF,30,15.9,1,4,1,25.0,0.25,0.06,0.25,1.00,8.3,0,0,0,0.2,0.2,0.05,+0.8,+0.8,734,834,88.0,14463,6148,0,0.3,-0.3,2,46,2,1,57
Romell Quioto,hn HON,FW,29,13.7,8,45,16,35.6,3.29,1.17,0.16,0.44,14.0,1,1,1,9.5,8.7,0.20,-1.5,-1.7,250,324,77.2,3721,673,5,2.8,+2.2,20,12,13,3,20
Zorhan Bassong,ca CAN,DF,21,13.9,0,5,1,20.0,0.36,0.07,0.00,0.00,16.7,0,0,0,0.2,0.2,0.05,-0.2,-0.2,614,736,83.4,10386,4099,1,0.8,+0.2,10,49,10,2,60
Bjørn Johnsen,no NOR,FW,29,9.9,2,27,12,44.4,2.73,1.21,0.07,0.17,13.0,0,0,0,4.0,4.0,0.15,-2.0,-2.0,147,225,65.3,2404,414,0,0.8,-0.8,14,9,4,1,10
Mason Toye,us USA,FW,22,9.9,7,22,12,54.5,2.23,1.21,0.23,0.42,15.7,0,2,2,6.1,4.6,0.21,+0.9,+0.4,119,167,71.3,2248,393,0,1.2,-1.2,5,10,4,1,12
Emanuel Maciel,ar ARG,MF,23,9.8,0,8,0,0.0,0.82,0.00,0.00,,26.1,0,0,0,0.2,0.2,0.02,-0.2,-0.2,567,639,88.7,12025,3038,0,0.4,-0.4,5,63,11,1,71
Sunusi Ibrahim,ng NGA,FW,18,10.2,4,32,13,40.6,3.15,1.28,0.13,0.31,14.3,0,0,0,5.4,5.4,0.17,-1.4,-1.4,182,243,74.9,3099,631,0,0.6,-0.6,7,18,5,1,14
Ahmed Hamdi,eg EGY,MF,22,9.9,2,17,5,29.4,1.72,0.51,0.12,0.40,17.7,0,0,0,1.4,1.4,0.09,+0.6,+0.6,439,490,89.6,7023,1532,0,1.1,-1.1,12,42,11,0,43
Sebastian Breza,ca CAN,GK,22,8.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,189,231,81.8,4187,2260,0,0.0,0.0,0,0,0,0,0
Clément Diop,sn SEN,GK,27,8.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,224,263,85.2,5839,3474,0,0.0,0.0,0,3,0,0,0
Mustafa Kizza,ug UGA,DF,21,7.3,0,9,3,33.3,1.23,0.41,0.00,0.00,21.6,1,0,0,0.5,0.5,0.06,-0.5,-0.5,323,416,77.6,6102,2564,2,0.5,+1.5,6,29,17,9,56
Lassi Lappalainen,fi FIN,DFFW,22,6.2,1,14,4,28.6,2.25,0.64,0.07,0.25,14.6,0,0,0,1.2,1.2,0.09,-0.2,-0.2,232,284,81.7,3901,1459,1,0.7,+0.3,3,19,7,0,31
Amar Sejdic,us USA,MF,24,4.3,0,2,0,0.0,0.46,0.00,0.00,,25.8,0,0,0,0.0,0.0,0.02,0.0,0.0,219,251,87.3,4235,815,0,0.4,-0.4,5,21,4,0,21
Clement Bayiha,ca CAN,DF,21,3.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,149,172,86.6,2448,768,0,0.1,-0.1,1,2,0,0,9
Erik Hurtado,us USA,FW,30,3.2,0,7,2,28.6,2.20,0.63,0.00,0.00,14.6,0,0,0,0.9,0.9,0.12,-0.9,-0.9,72,85,84.7,934,206,1,1.5,-0.5,11,1,1,0,4
Matko Miljevic,us USA,FWMF,19,1.6,1,4,3,75.0,2.55,1.91,0.25,0.33,23.5,0,0,0,0.1,0.1,0.03,+0.9,+0.9,68,82,82.9,1302,223,0,0.4,-0.4,1,8,0,0,6
Ballou Tabla,ca CAN,DFMF,21,0.2,0,2,0,0.0,8.57,0.00,0.00,,16.4,0,0,0,0.1,0.1,0.06,-0.1,-0.1,8,8,100.0,142,54,0,0.1,-0.1,1,0,1,0,2
Rida Zouhir,ca CAN,MF,17,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,6,6,100.0,94,11,0,0.0,0.0,0,0,0,0,0
Squad Total,,,24.9,34.0,45,392,128,32.7,11.53,3.76,0.10,0.32,16.9,14,4,4,46.8,43.8,0.11,-1.8,-2.8,17515,83.9,285055,95190,5853,33.5,-0.5,294,1123,272,61,1223,
Opponent Total,,,26.7,34.0,42,407,135,33.2,11.97,3.97,0.09,0.27,16.9,20,5,5,44.0,40.2,0.10,-2.0,-3.2,16187,81.4,261229,86715,5194,30.4,-2.4,298,976,233,73,1017,
