Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off
Djordje Mihailovic,us USA,MFFW,22,34,2796,82,91.4,31.1,32,85,22,2,38,0,1.35,44,40,+4,+0.13,+0.81,43.7,39.9,+3.8,+0.12,+0.48
Rudy Camacho,fr FRA,DF,29,31,2743,88,89.6,30.5,31,88,28,0,,0,1.45,44,38,+6,+0.20,+1.33,44.0,39.0,+5.0,+0.17,+0.81
Victor Wanyama,ke KEN,MF,29,27,2361,87,77.2,26.2,27,87,23,0,,1,1.44,36,35,+1,+0.04,-0.09,38.7,34.8,+3.9,+0.15,+0.29
Kamal Miller,ca CAN,DF,23,27,2378,88,77.7,26.4,26,90,26,1,38,0,1.37,35,32,+3,+0.11,+0.25,33.8,32.3,+1.4,+0.05,-0.12
Mathieu Choiniere,ca CAN,DF,21,26,1982,76,64.8,22.0,24,81,8,2,22,4,1.27,30,31,-1,-0.05,-0.30,30.3,25.1,+5.2,+0.24,+0.44
Zachary Brault-Guillard,ca CAN,DF,22,30,2050,68,67.0,22.8,23,82,12,7,24,0,1.33,32,24,+8,+0.35,+0.89,32.0,30.0,+2.0,+0.09,+0.02
Joaquín Torres,ar ARG,FWMF,24,28,1887,67,61.7,21.0,22,82,8,6,13,6,1.32,29,33,-4,-0.19,-0.65,29.6,27.6,+1.9,+0.09,+0.03
Joel Waterman,ca CAN,DF,25,22,1851,84,60.5,20.6,21,88,17,1,1,8,1.27,29,29,0,0.00,-0.15,27.4,25.7,+1.7,+0.08,0.00
Samuel Piette,ca CAN,MF,26,25,1713,69,56.0,19.0,19,80,12,6,31,4,1.56,26,26,0,0.00,-0.13,20.5,26.0,-5.6,-0.29,-0.85
James Pantemis,ca CAN,GK,23,18,1620,90,52.9,18.0,18,90,18,0,,13,1.44,29,27,+2,+0.11,+0.11,26.4,21.7,+4.7,+0.26,+0.38
Aljaž Struna,si SVN,DF,30,18,1433,80,46.8,15.9,16,88,13,2,13,3,1.61,18,15,+3,+0.19,+0.24,21.7,22.1,-0.4,-0.03,-0.20
Romell Quioto,hn HON,FW,29,19,1231,65,40.2,13.7,14,77,3,5,30,0,1.58,22,18,+4,+0.29,+0.39,21.6,15.0,+6.6,+0.48,+0.67
Zorhan Bassong,ca CAN,DF,21,26,1252,48,40.9,13.9,13,77,3,13,19,5,1.31,20,25,-5,-0.36,-0.71,19.6,21.4,-1.8,-0.13,-0.36
Bjørn Johnsen,no NOR,FW,29,26,891,34,29.1,9.9,10,72,3,16,11,7,1.19,9,11,-2,-0.20,-0.37,11.1,13.7,-2.6,-0.27,-0.49
