Player,Nation,Pos,Age,90s,Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Prog,1/3,CPA,Mis,Dis,Targ,Rec,Rec%,Prog
Djordje Mihailovic,us USA,MFFW,22,31.1,1827,22,205,878,875,128,1612,53,100,53.0,64,3,1221,6603,3501,177,61,30,77,42,1644,1313,79.9,241
Rudy Camacho,fr FRA,DF,29,30.5,2055,408,1348,806,61,22,1966,12,14,85.7,12,1,1233,8883,4567,67,5,0,4,5,1314,1298,98.8,3
Victor Wanyama,ke KEN,MF,29,26.2,1739,55,437,1103,327,34,1708,43,55,78.2,43,1,1307,6347,2961,122,41,5,25,30,1362,1289,94.6,42
Kamal Miller,ca CAN,DF,23,26.4,1835,167,841,956,195,18,1767,19,33,57.6,20,0,1290,6951,4532,125,42,2,18,26,1396,1357,97.2,11
Mathieu Choiniere,ca CAN,DF,21,22.0,1403,37,285,687,526,51,1255,17,35,48.6,19,1,960,4393,2580,108,33,11,26,25,1085,976,90.0,95
Zachary Brault-Guillard,ca CAN,DF,22,22.8,1343,48,363,599,487,68,1167,20,39,51.3,22,2,871,4899,3034,128,43,21,36,38,953,825,86.6,101
Joaquín Torres,ar ARG,FWMF,24,21.0,1028,6,79,486,546,80,975,38,76,50.0,43,5,837,4585,2432,145,34,30,59,54,1051,810,77.1,152
Joel Waterman,ca CAN,DF,25,20.6,1417,141,660,757,87,3,1370,10,11,90.9,10,0,974,5478,2898,89,23,0,4,5,1014,996,98.2,3
Samuel Piette,ca CAN,MF,26,19.0,1206,60,366,716,178,5,1191,14,18,77.8,15,0,830,3240,1492,36,14,0,15,12,905,860,95.0,17
James Pantemis,ca CAN,GK,23,18.0,585,531,584,3,0,0,438,0,0,,0,0,278,1232,602,0,0,0,0,1,229,229,100.0,0
Aljaž Struna,si SVN,DF,30,15.9,967,95,495,457,57,7,901,1,1,100.0,1,0,585,2394,1419,38,15,1,1,1,685,665,97.1,1
Romell Quioto,hn HON,FW,29,13.7,493,2,13,211,291,87,474,19,38,50.0,22,1,384,1713,885,53,8,16,36,26,639,405,63.4,156
Zorhan Bassong,ca CAN,DF,21,13.9,897,53,313,424,221,25,820,22,31,71.0,24,1,591,2971,1462,64,22,5,13,10,646,583,90.2,30
Bjørn Johnsen,no NOR,FW,29,9.9,359,13,29,183,162,49,349,6,16,37.5,8,1,199,685,342,18,7,7,36,10,443,268,60.5,60
Mason Toye,us USA,FW,22,9.9,267,9,21,144,115,39,258,6,12,50.0,8,0,170,735,353,16,3,5,19,16,359,205,57.1,49
Emanuel Maciel,ar ARG,MF,23,9.8,742,14,176,470,121,1,734,3,3,100.0,3,0,486,1597,648,30,9,0,11,10,585,547,93.5,23
Sunusi Ibrahim,ng NGA,FW,18,10.2,392,3,27,199,193,42,389,13,28,46.4,15,1,289,1389,866,41,15,5,40,28,495,310,62.6,81
Ahmed Hamdi,eg EGY,MF,22,9.9,595,7,101,337,217,34,588,21,29,72.4,21,3,459,2894,1692,82,32,9,19,13,506,454,89.7,35
Sebastian Breza,ca CAN,GK,22,8.0,251,228,250,1,0,0,173,0,0,,0,0,106,372,170,0,0,0,1,0,91,91,100.0,0
Clément Diop,sn SEN,GK,27,8.0,286,256,285,1,0,0,201,0,0,,0,0,136,504,206,0,0,0,0,0,108,108,100.0,0
Mustafa Kizza,ug UGA,DF,21,7.3,487,15,121,234,161,13,429,3,5,60.0,4,1,324,1333,848,37,13,0,5,2,368,324,88.0,21
Lassi Lappalainen,fi FIN,DFFW,22,6.2,365,10,66,169,157,24,329,9,20,45.0,10,0,239,1367,832,44,11,7,8,9,279,233,83.5,33
Amar Sejdic,us USA,MF,24,4.3,299,6,68,184,62,0,292,1,5,20.0,3,0,204,880,412,15,1,0,2,8,234,220,94.0,6
Clement Bayiha,ca CAN,DF,21,3.2,221,6,72,97,70,6,192,7,12,58.3,8,1,148,729,492,18,7,1,8,9,157,129,82.2,14
Erik Hurtado,us USA,FW,30,3.2,123,1,6,47,79,27,121,6,8,75.0,7,0,102,523,307,19,8,5,10,10,155,98,63.2,38
Matko Miljevic,us USA,FWMF,19,1.6,110,1,18,60,46,2,108,1,4,25.0,1,0,90,448,197,12,7,0,5,7,109,91,83.5,9
Ballou Tabla,ca CAN,DFMF,21,0.2,12,0,3,3,7,2,12,0,0,,0,0,8,72,57,4,0,1,1,0,11,7,63.6,2
Rida Zouhir,ca CAN,MF,17,0.2,10,1,4,6,0,0,10,0,1,0.0,0,0,5,25,0,0,0,0,0,0,8,6,75.0,0
Squad Total,,,24.9,34.0,21314,2195,7236,10218,5241,767,19829,344,594,57.9,383,22,14326,73242,39787,1488,454,161,479,397,16831,14697,87.3,1223
Opponent Total,,,26.7,34.0,19792,2135,6597,9329,5006,703,18310,276,480,57.5,296,20,12903,61457,30977,1225,387,114,446,304,15489,13173,85.0,1017
